2019/11/15 16:21:19 [xorm] [info]  2019/11/15 16:21:19.208028 [SQL] SELECT `TABLE_NAME`, `ENGINE`, `TABLE_ROWS`, `AUTO_INCREMENT`, `TABLE_COMMENT` from `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`=? AND (`ENGINE`='MyISAM' OR `ENGINE` = 'InnoDB' OR `ENGINE` = 'TokuDB') [proxycenter]
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.301181 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"95.31.245.50:36568", "http", 3033, 1}
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.311814 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.311940 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"95.31.245.50:36568", "http", "", 3033}
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.317208 [SQL] COMMIT
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.367103 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"167.71.131.143:8080", "http", 3248, 1}
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.394104 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"167.114.64.174:9999", "http", 3277, 1}
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.971863 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"167.71.182.191:3128", "http", 3855, 1}
2019/11/15 16:22:03 [xorm] [info]  2019/11/15 16:22:03.811281 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"167.71.182.191:3128", "http", 4695, 1}
2019/11/15 16:22:03 [xorm] [info]  2019/11/15 16:22:03.829014 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"182.53.206.138:8080", "http", 4561, 1}
2019/11/15 16:22:03 [xorm] [info]  2019/11/15 16:22:03.837620 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:03 [xorm] [info]  2019/11/15 16:22:03.837774 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"182.53.206.138:8080", "http", "", 4561}
2019/11/15 16:22:03 [xorm] [info]  2019/11/15 16:22:03.840934 [SQL] COMMIT
2019/11/15 16:22:04 [xorm] [info]  2019/11/15 16:22:04.382485 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"202.166.207.218:56576", "http", 5116, 1}
2019/11/15 16:22:04 [xorm] [info]  2019/11/15 16:22:04.388028 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:04 [xorm] [info]  2019/11/15 16:22:04.388177 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"202.166.207.218:56576", "http", "", 5116}
2019/11/15 16:22:04 [xorm] [info]  2019/11/15 16:22:04.393790 [SQL] COMMIT
2019/11/15 16:22:04 [xorm] [info]  2019/11/15 16:22:04.816865 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"91.93.73.228:7070", "http", 5552, 1}
2019/11/15 16:22:04 [xorm] [info]  2019/11/15 16:22:04.823140 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:04 [xorm] [info]  2019/11/15 16:22:04.823246 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"91.93.73.228:7070", "http", "", 5552}
2019/11/15 16:22:04 [xorm] [info]  2019/11/15 16:22:04.829984 [SQL] COMMIT
2019/11/15 16:22:05 [xorm] [info]  2019/11/15 16:22:05.526120 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"114.199.123.194:8080", "http", 6208, 1}
2019/11/15 16:22:05 [xorm] [info]  2019/11/15 16:22:05.536280 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:05 [xorm] [info]  2019/11/15 16:22:05.536453 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"114.199.123.194:8080", "http", "", 6208}
2019/11/15 16:22:05 [xorm] [info]  2019/11/15 16:22:05.540167 [SQL] COMMIT
2019/11/15 16:22:06 [xorm] [info]  2019/11/15 16:22:06.224313 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"91.187.113.205:53281", "http", 6959, 1}
2019/11/15 16:22:06 [xorm] [info]  2019/11/15 16:22:06.234103 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:06 [xorm] [info]  2019/11/15 16:22:06.234213 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"91.187.113.205:53281", "http", "", 6959}
2019/11/15 16:22:06 [xorm] [info]  2019/11/15 16:22:06.237524 [SQL] COMMIT
2019/11/15 16:22:06 [xorm] [info]  2019/11/15 16:22:06.774328 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{40, "15.206.114.193:8888", "http", 1861}
2019/11/15 16:22:07 [xorm] [info]  2019/11/15 16:22:07.900635 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"206.189.118.179:8080", "http", 8784, 1}
2019/11/15 16:22:08 [xorm] [info]  2019/11/15 16:22:08.388908 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"190.119.199.18:57333", "http", 9123, 1}
2019/11/15 16:22:08 [xorm] [info]  2019/11/15 16:22:08.395256 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:08 [xorm] [info]  2019/11/15 16:22:08.395346 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"190.119.199.18:57333", "http", "", 9123}
2019/11/15 16:22:08 [xorm] [info]  2019/11/15 16:22:08.398029 [SQL] COMMIT
2019/11/15 16:22:08 [xorm] [info]  2019/11/15 16:22:08.426905 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"201.236.200.243:8080", "http", 9161, 1}
2019/11/15 16:22:08 [xorm] [info]  2019/11/15 16:22:08.436567 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:08 [xorm] [info]  2019/11/15 16:22:08.436705 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"201.236.200.243:8080", "http", "", 9161}
2019/11/15 16:22:08 [xorm] [info]  2019/11/15 16:22:08.439749 [SQL] COMMIT
2019/11/15 16:22:09 [xorm] [info]  2019/11/15 16:22:09.168605 [SQL] SELECT `id`, `data`, `type1`, `type2`, `speed` FROM `ip` WHERE (speed <= 5000 and type1=?) []interface {}{"http"}
2019/11/15 16:22:09 [xorm] [info]  2019/11/15 16:22:09.175034 [SQL] SELECT `id`, `data`, `type1`, `type2`, `speed` FROM `ip` WHERE `type2`=? LIMIT 1 []interface {}{"https"}
2019/11/15 16:22:09 [xorm] [info]  2019/11/15 16:22:09.660960 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"180.183.247.10:8080", "http", 10396, 1}
2019/11/15 16:22:09 [xorm] [info]  2019/11/15 16:22:09.666895 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:09 [xorm] [info]  2019/11/15 16:22:09.666992 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"180.183.247.10:8080", "http", "", 10396}
2019/11/15 16:22:09 [xorm] [info]  2019/11/15 16:22:09.669967 [SQL] COMMIT
